season,round,round_index,team,elo
2025-26,35,35,Pioneers Vorarlberg,1399.55
2025-26,35,35,Steinbach Black Wings Linz,1483.43
2025-26,35,35,Vienna Capitals,1487.81
2025-26,36,36,EC Red Bull Salzburg,1608.71
2025-26,36,36,EC iDM Wärmepumpen VSV,1438.4
2025-26,36,36,EC-KAC,1596.67
2025-26,36,36,FTC-Telekom,1415.78
2025-26,36,36,HC Falkensteiner Pustertal,1511.29
2025-26,36,36,HC TIWAG Innsbruck - Die Haie,1345.58
2025-26,36,36,HCB Südtirol Alperia,1589.11
2025-26,36,36,Hydro Fehervar AV 19,1453.77
2025-26,36,36,Moser Medical Graz99ers,1624.72
2025-26,36,36,Olimpija Ljubljana,1544.67
2025-26,36,36,Pioneers Vorarlberg,1399.55
2025-26,36,36,Steinbach Black Wings Linz,1495.81
2025-26,36,36,Vienna Capitals,1475.93
2025-26,37,37,EC Red Bull Salzburg,1618.14
2025-26,37,37,EC iDM Wärmepumpen VSV,1426.24
2025-26,37,37,EC-KAC,1604.26
2025-26,37,37,FTC-Telekom,1405.97
2025-26,37,37,HC Falkensteiner Pustertal,1503.7
2025-26,37,37,HC TIWAG Innsbruck - Die Haie,1336.51
2025-26,37,37,HCB Südtirol Alperia,1579.67
2025-26,37,37,Hydro Fehervar AV 19,1472.5
2025-26,37,37,Moser Medical Graz99ers,1606.0
2025-26,37,37,Olimpija Ljubljana,1554.47
2025-26,37,37,Pioneers Vorarlberg,1408.62
2025-26,37,37,Steinbach Black Wings Linz,1495.81
2025-26,37,37,Vienna Capitals,1488.09
2025-26,38,38,EC Red Bull Salzburg,1630.95
2025-26,38,38,EC iDM Wärmepumpen VSV,1420.96
2025-26,38,38,EC-KAC,1609.55
2025-26,38,38,FTC-Telekom,1416.05
2025-26,38,38,HC Falkensteiner Pustertal,1503.7
2025-26,38,38,HC TIWAG Innsbruck - Die Haie,1330.02
2025-26,38,38,HCB Südtirol Alperia,1570.43
2025-26,38,38,Hydro Fehervar AV 19,1478.99
2025-26,38,38,Moser Medical Graz99ers,1615.24
2025-26,38,38,Olimpija Ljubljana,1541.67
2025-26,38,38,Pioneers Vorarlberg,1398.55
2025-26,38,38,Steinbach Black Wings Linz,1505.58
2025-26,38,38,Vienna Capitals,1478.31
2025-26,39,39,EC Red Bull Salzburg,1613.25
2025-26,39,39,EC iDM Wärmepumpen VSV,1435.01
2025-26,39,39,EC-KAC,1609.55
2025-26,39,39,FTC-Telekom,1426.15
2025-26,39,39,HC Falkensteiner Pustertal,1521.4
2025-26,39,39,HC TIWAG Innsbruck - Die Haie,1319.92
2025-26,39,39,HCB Südtirol Alperia,1556.37
2025-26,39,39,Hydro Fehervar AV 19,1466.72
2025-26,39,39,Moser Medical Graz99ers,1624.71
