player,team,goals,assists,points,penalties,pim
Kallen Nate,Vienna Capitals,0,0,0,0,0
Klingler Lorenz,HC TIWAG Innsbruck - Die Haie,0,0,0,0,0
Koskela Valtteri,FTC-Telekom,0,0,0,0,0
Lanzinger Florian,EC Red Bull Salzburg,0,0,0,0,0
Leitner Lennart,EC-KAC,0,0,0,0,0
Leitner Samuel,HC TIWAG Innsbruck - Die Haie,0,0,0,0,0
Macierzynski Kevin,Vienna Capitals,0,0,0,0,0
Mair Alexander,HC Falkensteiner Pustertal,0,0,0,0,0
Moser Lukas,EC iDM Wärmepumpen VSV,0,0,0,0,0
Nagy Dominik,Hydro Fehervar AV 19,0,0,0,0,0
Nagy Kristóf,FTC-Telekom,0,0,0,0,0
Pall Julian,HC TIWAG Innsbruck - Die Haie,0,0,0,0,0
Rabanser Jakob,HC Falkensteiner Pustertal,0,0,0,0,0
Reder Martin,Steinbach Black Wings Linz,0,0,0,0,0
Schreiner Vadim,EC Red Bull Salzburg,0,0,0,0,0
Sebestyén Bencze,FTC-Telekom,0,0,0,0,0
Seregély Máté,FTC-Telekom,0,0,0,0,0
Setzinger Lennox,Vienna Capitals,0,0,0,0,0
Sicher Michael,EC-KAC,0,0,0,0,0
Sintschnig Jakob,EC iDM Wärmepumpen VSV,0,0,0,0,0
Steiner Paul,EC iDM Wärmepumpen VSV,0,0,0,0,0
Stiegler Max,Vienna Capitals,0,0,0,0,0
Swette Rene,EC iDM Wärmepumpen VSV,0,0,0,0,0
Vorauer Florian,EC-KAC,0,0,0,0,0
Widhalm Leon,Vienna Capitals,0,0,0,0,0
Wurzer Maximilian,EC Red Bull Salzburg,0,0,0,0,0
Zandegiacomo Luciano Mistrotione,HC Falkensteiner Pustertal,0,0,0,0,0
