game_id,season_id,date,home_team,away_team,score,round,venue,spectators,away_pim,away_pp_pct,away_pp_time,away_save_pct,away_saves,away_score,away_shots,away_team_short,home_pim,home_pp_pct,home_pp_time,home_save_pct,home_saves,home_score,home_shots,home_team_short,periods,periods_detail
1004506,18263,2025-10-18 15:15,,Rögle BK,2-3,,Husqvarna Garden,6800,4,,,"13,64",19,3,22,RBK,0,,,"9,52",19,2,21,HV71,"(1-0, 1-3, 0-0)","1-0, 1-3, 0-0"
1004510,18263,2025-10-18 15:15,Örebro HK,Luleå HF,3-0,,Behrn Arena,5500,2,"0,00%",02:00,"0,00",24,0,25,LHF,2,"0,00%",02:00,"11,11",25,3,27,ÖHK,"(2-0, 1-0, 0-0)","2-0, 1-0, 0-0"
1004515,18263,2025-10-18 15:15,Djurgårdens IF,Brynäs IF,3-1,,"Hovet, Johanneshov",8094,34,"25,00%",05:05,"4,17",22,1,24,BIF,8,"20,00%",08:03,"12,00",23,3,25,DIF,"(2-0, 0-0, 1-1)","2-0, 0-0, 1-1"
1004508,18263,2025-10-18 18:00,Leksands IF,Färjestad BK,0-3,,Tegera Arena,6513,12,"0,00%",04:00,"9,38",28,3,32,FBK,6,"0,00%",08:29,"0,00",29,0,28,LIF,"(0-2, 0-0, 0-1)","0-2, 0-0, 0-1"
1004513,18263,2025-10-18 18:00,Linköping HC,Växjö Lakers HC,0-2,,Saab Arena,6348,6,"100,00%",01:39,"10,53",17,2,19,VÄX,4,"0,00%",02:00,"0,00",17,0,17,LHC,"(0-0, 0-2, 0-0)","0-0, 0-2, 0-0"
1004517,18263,2025-10-18 18:00,Skellefteå AIK,IF Malmö Redhawks,5-1,,Skellefteå Kraft Arena,5091,39,"0,00%",06:00,"3,57",29,1,28,MIF,8,"50,00%",13:26,"14,71",27,5,34,SKE,"(1-0, 4-0, 0-1)","1-0, 4-0, 0-1"
1004522,18263,2025-10-23 19:00,Färjestad BK,Skellefteå AIK,3-2,,Löfbergs Arena,5907,8,"0,00%",04:00,"10,53",29,2,19,SKE,4,"25,00%",07:35,"9,38",17,3,32,FBK,"(1-1, 0-1, 1-0, 0-0, 1-0)","1-1, 0-1, 1-0, 0-0, 1-0"
1004523,18263,2025-10-23 19:00,FRÖ,HV71,2-1,,Scandinavium,11008,8,"100,00%",00:04,"3,70",25,1,27,HV71,6,"0,00%",04:00,"7,41",26,2,27,FRÖ,"(1-0, 1-0, 0-1)","1-0, 1-0, 0-1"
1004524,18263,2025-10-23 19:00,Luleå HF,Linköping HC,4-1,,Coop Norrbotten Arena,6150,2,"20,00%",09:33,"3,85",18,1,26,LHC,10,"0,00%",02:00,"18,18",25,4,22,LHF,"(1-0, 1-1, 2-0)","1-0, 1-1, 2-0"
1004526,18263,2025-10-23 19:00,Djurgårdens IF,Örebro HK,5-3,,"Hovet, Johanneshov",8094,8,"50,00%",02:50,"14,29",26,3,21,ÖHK,4,"50,00%",07:03,"16,13",18,5,31,DIF,"(2-2, 1-1, 2-0)","2-2, 1-1, 2-0"
1004529,18263,2025-10-23 19:00,Rögle BK,IF Malmö Redhawks,5-3,,Catena Arena,6310,12,"33,33%",03:07,"15,00",17,3,20,MIF,12,"0,00%",04:31,"22,73",17,5,22,RBK,"(2-1, 1-1, 2-1)","2-1, 1-1, 2-1"
1004531,18263,2025-10-23 19:00,Timrå IK,Leksands IF,3-2,,SCA Arena,5009,2,,,"8,70",30,2,23,LIF,0,,,"9,09",21,3,33,TIK,"(1-1, 0-0, 1-1, 1-0)","1-1, 0-0, 1-1, 1-0"
1004533,18263,2025-10-23 19:00,Växjö Lakers HC,Brynäs IF,2-1,,Vida Arena,5550,4,"33,33%",04:27,"3,70",9,1,27,BIF,6,"50,00%",02:14,"18,18",26,2,11,VÄX,"(0-0, 2-1, 0-0)","0-0, 2-1, 0-0"
