player,team,goals,assists,penalties,pim,points
JAKUBEC Michal,HK Dukla Trenčín,3.0,2.0,0.0,0.0,5.0
PODOLINSKÝ Richard,HK 32 Liptovský Mikuláš,3.0,2.0,0.0,0.0,5.0
STRÁNSKÝ David,HC MONACObet B.Bystrica,3.0,2.0,0.0,0.0,5.0
GROCH Šimon,HK Spišská Nová Ves,2.0,3.0,0.0,0.0,5.0
HAIN Samuel,HC Prešov,2.0,3.0,0.0,0.0,5.0
KOWALCZYK Daniel,HKM Zvolen,2.0,3.0,0.0,0.0,5.0
SOLENSKÝ Samuel,Slovan Bratislava,2.0,3.0,0.0,0.0,5.0
BAČA Matej,HK Nitra,1.0,4.0,0.0,0.0,5.0
BLAŠKO Ján,HC Prešov,1.0,4.0,0.0,0.0,5.0
BRACCO Jeremy Robert,HK Poprad,1.0,4.0,0.0,0.0,5.0
HILLEBRAND Richard James,HK Poprad,1.0,4.0,0.0,0.0,5.0
MACEJKO Miroslav,HK Dukla Michalovce,1.0,4.0,0.0,0.0,5.0
SHINNIMIN Brendan Reid,Slovan Bratislava,1.0,4.0,0.0,0.0,5.0
FERETA Samuel,HK Poprad,0.0,5.0,0.0,0.0,5.0
LIČKO Fabian Andrej,Slovan Bratislava,0.0,5.0,0.0,0.0,5.0
MEZEI Branislav,HK Nitra,0.0,5.0,0.0,0.0,5.0
BARTOVIČ Adrien,Vlci Žilina,3.0,1.0,0.0,0.0,4.0
DAKHNOVSKYI Oleksii,HC Košice,2.0,2.0,0.0,0.0,4.0
GABOR Ralph Kevin,HK Poprad,2.0,2.0,0.0,0.0,4.0
KASPICK Tanner John,HKM Zvolen,2.0,2.0,0.0,0.0,4.0
KVIETOK Jakub,HC Košice,2.0,2.0,0.0,0.0,4.0
LIŠČINSKÝ Michal,HC Košice,2.0,2.0,0.0,0.0,4.0
ČUNDERLÍK Michal,HC MONACObet B.Bystrica,2.0,2.0,0.0,0.0,4.0
BELLUŠ Martin,HK Spišská Nová Ves,1.0,3.0,0.0,0.0,4.0
BORTŇÁK Dalibor,HC Prešov,1.0,3.0,0.0,0.0,4.0
BUKARTS Roberts,HK Dukla Trenčín,1.0,3.0,0.0,0.0,4.0
CHATRNÚCH Michal,HC Prešov,1.0,3.0,0.0,0.0,4.0
JURÁK Roman,HK Skalica,1.0,3.0,0.0,0.0,4.0
KADYROV Danila,HC Prešov,1.0,3.0,0.0,0.0,4.0
KOTVAN Oldrich,HK Poprad,1.0,3.0,0.0,0.0,4.0
NÁTNY Dávid,HC Prešov,1.0,3.0,0.0,0.0,4.0
PALOČKO Matej,HC Prešov,1.0,3.0,0.0,0.0,4.0
STAROSTA Tomáš,HK Dukla Trenčín,1.0,3.0,0.0,0.0,4.0
STAS Viktor,HK Spišská Nová Ves,1.0,3.0,0.0,0.0,4.0
STRIPAI Adam,HK Dukla Michalovce,1.0,3.0,0.0,0.0,4.0
TAYLOR Zachary George,HC Prešov,1.0,3.0,0.0,0.0,4.0
ŽABKA Boris,HC MONACObet B.Bystrica,1.0,3.0,0.0,0.0,4.0
JENDROĽ Dominik,HK 32 Liptovský Mikuláš,0.0,4.0,0.0,0.0,4.0
NIJHOFF Logan Alexander Robert,Slovan Bratislava,0.0,4.0,0.0,0.0,4.0
ROMAN Michal,HK Dukla Michalovce,0.0,4.0,0.0,0.0,4.0
ZELEŇÁK Vojtech,HC MONACObet B.Bystrica,0.0,4.0,0.0,0.0,4.0
BUBELA Miloš,HK Dukla Trenčín,3.0,0.0,0.0,0.0,3.0
KUNDRIK Peter,HK Poprad,3.0,0.0,0.0,0.0,3.0
ELYNUIK Hudson Alexander Royle,HK 32 Liptovský Mikuláš,2.0,1.0,0.0,0.0,3.0
BARCÍK Samuel,HK Spišská Nová Ves,1.0,2.0,0.0,0.0,3.0
KOZÁK Lukáš,HC Prešov,1.0,2.0,0.0,0.0,3.0
KUKOS Jozef,HKM Zvolen,1.0,2.0,0.0,0.0,3.0
SAFIN Ostap,HK Dukla Trenčín,1.0,2.0,0.0,0.0,3.0
SEMAŇÁK Martin,HC Prešov,1.0,2.0,0.0,0.0,3.0
SERTTI Lauri Aleksi,HK Dukla Michalovce,1.0,2.0,0.0,0.0,3.0
STANČEK Michal,HK Poprad,1.0,2.0,0.0,0.0,3.0
TEASDALE Joël,HK Spišská Nová Ves,1.0,2.0,0.0,0.0,3.0
BUNCIS Filips,HC Prešov,0.0,3.0,0.0,0.0,3.0
DICKINSON Tanner Steven,HC Prešov,0.0,3.0,0.0,0.0,3.0
DRÁBEK Michael,HK Spišská Nová Ves,0.0,3.0,0.0,0.0,3.0
GLOSÁR Vladimír,HK Dukla Michalovce,0.0,3.0,0.0,0.0,3.0
LAURENČÍK Michal,HK Dukla Trenčín,0.0,3.0,0.0,0.0,3.0
NOVOTA Miroslav,HC Prešov,0.0,3.0,0.0,0.0,3.0
VALENT Peter,HK Nitra,0.0,3.0,0.0,0.0,3.0
ZAJAC Nolan James,HK Spišská Nová Ves,0.0,3.0,0.0,0.0,3.0
ZÁBORSKÝ Tomáš,HK Dukla Trenčín,0.0,3.0,0.0,0.0,3.0
ŠMÍDA Sebastián,Vlci Žilina,0.0,3.0,0.0,0.0,3.0
BORTŇÁK Dalibor,HK Spišská Nová Ves,2.0,0.0,0.0,0.0,2.0
FRIČ Patrik,HC Prešov,2.0,0.0,0.0,0.0,2.0
HAIN Samuel,HK Dukla Trenčín,2.0,0.0,0.0,0.0,2.0
TUMANOVS Miks,HC Prešov,2.0,0.0,0.0,0.0,2.0
VAJKO Tomáš,Vlci Žilina,2.0,0.0,0.0,0.0,2.0
VANDAS Michael,HK Poprad,2.0,0.0,0.0,0.0,2.0
BARCÍK Adam,HK Skalica,1.0,1.0,0.0,0.0,2.0
BERLEV Anton,HC Prešov,1.0,1.0,0.0,0.0,2.0
FERANEC Michal,HC Prešov,1.0,1.0,0.0,0.0,2.0
KALOUSEK Miroslav,HK 32 Liptovský Mikuláš,1.0,1.0,0.0,0.0,2.0
KARAFFA Roman,HK Spišská Nová Ves,1.0,1.0,0.0,0.0,2.0
KASPICK Tanner John,HK Spišská Nová Ves,1.0,1.0,0.0,0.0,2.0
KOTVAN Branislav,HK 32 Liptovský Mikuláš,1.0,1.0,0.0,0.0,2.0
KOTVAN Oldrich,HK 32 Liptovský Mikuláš,1.0,1.0,0.0,0.0,2.0
KRIŠKA Kristián,HK 32 Liptovský Mikuláš,1.0,1.0,0.0,0.0,2.0
LUŠŇÁK Patrik,HC 19 Humenné,1.0,1.0,0.0,0.0,2.0
MATOUŠEK Tomáš,HC MONACObet B.Bystrica,1.0,1.0,0.0,0.0,2.0
OBDRŽÁLEK Petr,HK Skalica,1.0,1.0,0.0,0.0,2.0
PAUČÍK Milan,HC MONACObet B.Bystrica,1.0,1.0,0.0,0.0,2.0
SALINITRI Anthony Philip,HK Spišská Nová Ves,1.0,1.0,0.0,0.0,2.0
STRÁNSKÝ Adam,HK Dukla Trenčín,1.0,1.0,0.0,0.0,2.0
TOMA Lukáš,HC 19 Humenné,1.0,1.0,0.0,0.0,2.0
TURANSKÝ Artur,HK Nitra,1.0,1.0,0.0,0.0,2.0
VANDAS Michael,HK Spišská Nová Ves,1.0,1.0,0.0,0.0,2.0
ZELEŇÁK Vojtech,Slovan Bratislava,1.0,1.0,0.0,0.0,2.0
ZHELEZKOV Artem,HC 19 Humenné,1.0,1.0,0.0,0.0,2.0
ŠILLE Timotej,HC Prešov,1.0,1.0,0.0,0.0,2.0
ŠPIRKO Rastislav,HK Skalica,1.0,1.0,0.0,0.0,2.0
ŠVEC Jozef,HK Dukla Trenčín,1.0,1.0,0.0,0.0,2.0
BELÁNYI Filip,HK Poprad,0.0,2.0,0.0,0.0,2.0
BREJČÁK Ján,HC Prešov,0.0,2.0,0.0,0.0,2.0
HRENÁK Marko,HK Dukla Trenčín,0.0,2.0,0.0,0.0,2.0
KANTOR Pavel,HKM Zvolen,0.0,2.0,0.0,0.0,2.0
KOBOLKA Adam,HKM Zvolen,0.0,2.0,0.0,0.0,2.0
KOTVAN Oldrich,Vlci Žilina,0.0,2.0,0.0,0.0,2.0
LINET Jakub,HC 19 Humenné,0.0,2.0,0.0,0.0,2.0
MARUNA Ondrej,HC Prešov,0.0,2.0,0.0,0.0,2.0
NEMEC Richard,HK Skalica,0.0,2.0,0.0,0.0,2.0
