player,team,goals,assists,points,penalties,pim
Antoine Guignard,Genève-Servette HC,0,0,0,0,0
Anton Besanidis,HC Lugano,0,0,0,0,0
Aris Häfliger,HC Ambri-Piotta,0,0,0,0,0
Arthur Dandois,Fribourg-Gottéron,0,0,0,0,0
Benjamin Conz,HC Ajoie,0,0,0,0,0
Benjamin Quinn,SC Rapperswil-Jona Lakers,0,0,0,0,0
Benjamin Quinn,SCRJ Lakers,0,0,0,0,0
Cedric Gerber,EHC Kloten,0,0,0,0,0
Christof Von Burg,SC Bern,0,0,0,0,0
Connor Hughes,Lausanne HC,0,0,0,0,0
Cyril Keller,EHC Kloten,0,0,0,0,0
Cédric Aeschbach,EHC Biel-Bienne,0,0,0,0,0
Daniels Serkins,SC Bern,0,0,0,0,0
Danyil Shulha,Genève-Servette HC,0,0,0,0,0
David Brodecky,HC Ajoie,0,0,0,0,0
Davide Fadani,EHC Kloten,0,0,0,0,0
Davide Togni,HC Lugano,0,0,0,0,0
Derick Brassard,Genève-Servette HC,0,0,0,0,0
Edoardo Berti,Genève-Servette HC,0,0,0,0,0
Elia Baumann,HC Davos,0,0,0,0,0
Elijah Neuenschwander,Fribourg-Gottéron,0,0,0,0,0
Endo Meier,ZSC Lions,0,0,0,0,0
Enea Togni,HC Lugano,0,0,0,0,0
Ewan Huet,EHC Kloten,0,0,0,0,0
Fabio Haller,HC Ajoie,0,0,0,0,0
Fadri Riatsch,SC Bern,0,0,0,0,0
Filippo Schmidt,ZSC Lions,0,0,0,0,0
Finn Bichsel,EHC Biel-Bienne,0,0,0,0,0
Flavio Andri,EV Zug,0,0,0,0,0
Flavio Sauser,EV Zug,0,0,0,0,0
Florian Scheu,EHC Biel-Bienne,0,0,0,0,0
Gian Keller,EHC Kloten,0,0,0,0,0
Gregory Weber,SC Bern,0,0,0,0,0
Hugo Cerviño,HC Ajoie,0,0,0,0,0
Ianfranco Vargas Sanchez,SC Rapperswil-Jona Lakers,0,0,0,0,0
Ianfranco Vargas Sanchez,SCRJ Lakers,0,0,0,0,0
Ivars Punnenovs,SC Rapperswil-Jona Lakers,0,0,0,0,0
Jamie Villard,EHC Biel-Bienne,0,0,0,0,0
Jan Hornecker,SC Rapperswil-Jona Lakers,0,0,0,0,0
Janis Embacher,SC Rapperswil-Jona Lakers,0,0,0,0,0
Janis Embacher,SCRJ Lakers,0,0,0,0,0
Jens Nater,EV Zug,0,0,0,0,0
Joel Henry,ZSC Lions,0,0,0,0,0
Jonathan Moser,EHC Biel-Bienne,0,0,0,0,0
Joren van Pottelberghe,HC Lugano,0,0,0,0,0
Juuso Arola,Fribourg-Gottéron,0,0,0,0,0
Kevin Lindemann,SC Rapperswil-Jona Lakers,0,0,0,0,0
Kevin Lindemann,SCRJ Lakers,0,0,0,0,0
Kevin Zürcher,SC Bern,0,0,0,0,0
Kimo Bont,SC Bern,0,0,0,0,0
Laurin Fuhrer,SCRJ Lakers,0,0,0,0,0
Laurin Solèr,HC Davos,0,0,0,0,0
Leonardo Genoni,EV Zug,0,0,0,0,0
Livio Christen,EHC Biel-Bienne,0,0,0,0,0
Loic Fromaget,Genève-Servette HC,0,0,0,0,0
