season,round,round_index,team,elo
2025-26,R 29,29,Hokejový klub Dukla Ingema Michalovce,1464.21
2025-26,R 29,29,Hokejový klub Poprad a.s.,1554.86
2025-26,R 29,29,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1493.46
2025-26,R 29,29,Presov Hockey a.s.,1369.59
2025-26,R 29,29,"VLCI ŽILINA, a.s.",1545.01
2025-26,R 30,30,HC Košice s.r.o.,1508.14
2025-26,R 30,30,"HC SLOVAN Bratislava, a.s.",1571.58
2025-26,R 30,30,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1517.82
2025-26,R 30,30,"HK Nitra, s.r.o.",1576.51
2025-26,R 30,30,"HK Rysy, s.r.o.",1434.48
2025-26,R 30,30,HKM a.s,1456.15
2025-26,R 30,30,"Hokejový klub DUKLA Trenčín, a.s.",1473.39
2025-26,R 30,30,Hokejový klub Dukla Ingema Michalovce,1481.43
2025-26,R 30,30,Hokejový klub Poprad a.s.,1566.77
2025-26,R 30,30,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1476.24
