season,round,round_index,team,elo
2025-26,R 28,28,EHC Kloten,1462.03
2025-26,R 28,28,EV Zug,1510.2
2025-26,R 28,28,Fribourg-Gottéron,1532.6
2025-26,R 28,28,Genève-Servette HC,1497.67
2025-26,R 28,28,HC Ajoie,1381.21
2025-26,R 28,28,HC Ambri-Piotta,1432.15
2025-26,R 28,28,HC Davos,1624.64
2025-26,R 28,28,HC Lugano,1498.69
2025-26,R 28,28,Lausanne HC,1530.21
2025-26,R 28,28,SC Bern,1468.3
2025-26,R 28,28,SC Rapperswil-Jona Lakers,1524.19
2025-26,R 28,28,SCL Tigers,1488.59
2025-26,R 28,28,SCRJ Lakers,1570.06
2025-26,R 28,28,ZSC Lions,1487.63
2025-26,R 29,29,EHC Biel-Bienne,1506.35
2025-26,R 29,29,EHC Kloten,1447.51
2025-26,R 29,29,EV Zug,1526.83
2025-26,R 29,29,Fribourg-Gottéron,1536.31
2025-26,R 29,29,Genève-Servette HC,1481.7
2025-26,R 29,29,HC Ajoie,1377.3
2025-26,R 29,29,HC Ambri-Piotta,1448.12
2025-26,R 29,29,HC Davos,1628.55
2025-26,R 29,29,HC Lugano,1511.17
2025-26,R 29,29,Lausanne HC,1534.02
2025-26,R 29,29,SC Bern,1455.82
2025-26,R 29,29,SC Rapperswil-Jona Lakers,1507.56
2025-26,R 29,29,SCL Tigers,1484.78
2025-26,R 29,29,SCRJ Lakers,1570.06
2025-26,R 29,29,ZSC Lions,1483.92
2025-26,R 30,30,EHC Biel-Bienne,1485.74
2025-26,R 30,30,EHC Kloten,1435.3
2025-26,R 30,30,EV Zug,1526.83
2025-26,R 30,30,Fribourg-Gottéron,1529.03
2025-26,R 30,30,Genève-Servette HC,1502.31
2025-26,R 30,30,HC Ajoie,1377.3
2025-26,R 30,30,HC Ambri-Piotta,1436.38
2025-26,R 30,30,HC Davos,1634.82
2025-26,R 30,30,HC Lugano,1526.94
2025-26,R 30,30,Lausanne HC,1545.76
2025-26,R 30,30,SC Bern,1463.1
2025-26,R 30,30,SC Rapperswil-Jona Lakers,1507.56
2025-26,R 30,30,SCL Tigers,1478.51
2025-26,R 30,30,SCRJ Lakers,1554.29
2025-26,R 30,30,ZSC Lions,1496.13
2025-26,R 31,31,EHC Biel-Bienne,1506.16
2025-26,R 31,31,EHC Kloten,1448.61
2025-26,R 31,31,EV Zug,1514.6
2025-26,R 31,31,Fribourg-Gottéron,1515.72
2025-26,R 31,31,Genève-Servette HC,1529.06
2025-26,R 31,31,HC Ajoie,1389.72
2025-26,R 31,31,HC Ambri-Piotta,1426.46
2025-26,R 31,31,HC Davos,1608.07
2025-26,R 31,31,HC Lugano,1536.86
2025-26,R 31,31,Lausanne HC,1525.33
2025-26,R 31,31,SC Bern,1450.68
2025-26,R 31,31,SC Rapperswil-Jona Lakers,1486.19
2025-26,R 31,31,SCL Tigers,1490.75
2025-26,R 31,31,SCRJ Lakers,1554.29
2025-26,R 31,31,ZSC Lions,1517.5
2025-26,R 32,32,EHC Biel-Bienne,1506.16
2025-26,R 32,32,EHC Kloten,1448.61
2025-26,R 32,32,EV Zug,1514.6
2025-26,R 32,32,Fribourg-Gottéron,1515.72
2025-26,R 32,32,Genève-Servette HC,1529.06
2025-26,R 32,32,HC Ajoie,1389.72
2025-26,R 32,32,HC Ambri-Piotta,1426.46
2025-26,R 32,32,HC Davos,1595.73
2025-26,R 32,32,HC Lugano,1536.86
2025-26,R 32,32,Lausanne HC,1537.67
2025-26,R 32,32,SC Bern,1450.68
2025-26,R 32,32,SC Rapperswil-Jona Lakers,1486.19
2025-26,R 32,32,SCL Tigers,1490.75
2025-26,R 32,32,SCRJ Lakers,1554.29
2025-26,R 32,32,ZSC Lions,1517.5
2025-26,R 33,33,EHC Biel-Bienne,1506.16
2025-26,R 33,33,EHC Kloten,1448.61
2025-26,R 33,33,EV Zug,1525.01
2025-26,R 33,33,Fribourg-Gottéron,1515.72
2025-26,R 33,33,Genève-Servette HC,1518.64
2025-26,R 33,33,HC Ajoie,1389.72
2025-26,R 33,33,HC Ambri-Piotta,1426.46
2025-26,R 33,33,HC Davos,1595.73
2025-26,R 33,33,HC Lugano,1536.86
2025-26,R 33,33,Lausanne HC,1537.67
2025-26,R 33,33,SC Bern,1450.68
2025-26,R 33,33,SC Rapperswil-Jona Lakers,1486.19
2025-26,R 33,33,SCL Tigers,1490.75
2025-26,R 33,33,SCRJ Lakers,1554.29
2025-26,R 33,33,ZSC Lions,1517.5
2025-26,R 34,34,EHC Biel-Bienne,1499.58
2025-26,R 34,34,EHC Kloten,1448.61
2025-26,R 34,34,EV Zug,1525.01
2025-26,R 34,34,Fribourg-Gottéron,1519.87
2025-26,R 34,34,Genève-Servette HC,1518.64
2025-26,R 34,34,HC Ajoie,1380.78
2025-26,R 34,34,HC Ambri-Piotta,1435.41
2025-26,R 34,34,HC Davos,1595.73
2025-26,R 34,34,HC Lugano,1536.86
2025-26,R 34,34,Lausanne HC,1537.67
2025-26,R 34,34,SC Bern,1457.26
2025-26,R 34,34,SC Rapperswil-Jona Lakers,1482.04
2025-26,R 34,34,SCL Tigers,1480.73
2025-26,R 34,34,SCRJ Lakers,1554.29
2025-26,R 34,34,ZSC Lions,1527.52
2025-26,R 35,35,EHC Biel-Bienne,1486.96
2025-26,R 35,35,EHC Kloten,1461.12
2025-26,R 35,35,EV Zug,1525.01
2025-26,R 35,35,Fribourg-Gottéron,1519.87
2025-26,R 35,35,Genève-Servette HC,1503.52
2025-26,R 35,35,HC Ajoie,1380.78
2025-26,R 35,35,HC Ambri-Piotta,1448.03
2025-26,R 35,35,HC Davos,1611.23
2025-26,R 35,35,HC Lugano,1551.98
2025-26,R 35,35,Lausanne HC,1525.16
2025-26,R 35,35,SC Bern,1446.51
2025-26,R 35,35,SC Rapperswil-Jona Lakers,1482.04
2025-26,R 35,35,SCL Tigers,1480.73
2025-26,R 35,35,SCRJ Lakers,1538.79
2025-26,R 35,35,ZSC Lions,1538.27
2025-26,R 36,36,EHC Biel-Bienne,1486.96
2025-26,R 36,36,EHC Kloten,1461.12
2025-26,R 36,36,EV Zug,1525.01
2025-26,R 36,36,Fribourg-Gottéron,1529.25
2025-26,R 36,36,Genève-Servette HC,1503.52
2025-26,R 36,36,HC Ajoie,1371.4
2025-26,R 36,36,HC Ambri-Piotta,1448.03
2025-26,R 36,36,HC Davos,1611.23
2025-26,R 36,36,HC Lugano,1535.84
2025-26,R 36,36,Lausanne HC,1525.16
2025-26,R 36,36,SC Bern,1446.51
2025-26,R 36,36,SC Rapperswil-Jona Lakers,1482.04
2025-26,R 36,36,SCL Tigers,1496.87
2025-26,R 36,36,SCRJ Lakers,1538.79
2025-26,R 36,36,ZSC Lions,1538.27
2025-26,R 37,37,EHC Biel-Bienne,1486.96
2025-26,R 37,37,EHC Kloten,1461.12
2025-26,R 37,37,EV Zug,1525.01
2025-26,R 37,37,Fribourg-Gottéron,1529.25
2025-26,R 37,37,Genève-Servette HC,1514.26
2025-26,R 37,37,HC Ajoie,1371.4
2025-26,R 37,37,HC Ambri-Piotta,1448.03
2025-26,R 37,37,HC Davos,1611.23
2025-26,R 37,37,HC Lugano,1535.84
2025-26,R 37,37,Lausanne HC,1525.16
2025-26,R 37,37,SC Bern,1446.51
2025-26,R 37,37,SC Rapperswil-Jona Lakers,1482.04
2025-26,R 37,37,SCL Tigers,1486.13
2025-26,R 37,37,SCRJ Lakers,1538.79
